* ******************************************************************************

* iCEcube Pin Table

* Version:            2015.04.27409

* Build Date:         May 27 2015 15:59:13

* File Generated:     Feb 6 2017 17:38:54

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, gpio_pin[20], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, leftBank
34, PIO, sram_a[0], Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
37, PIO, gpio_pin[19], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, bottomBank
38, PIO, gpio_pin[18], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, bottomBank
39, PIO, gpio_pin[17], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, bottomBank
40, VCC, not used, , , , , , UnknownBank
41, PIO, gpio_pin[16], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, bottomBank
42, PIO, gpio_pin[14], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, bottomBank
43, PIO, gpio_pin[15], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, bottomBank
44, PIO, gpio_pin[12], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, bottomBank
45, PIO, gpio_pin[13], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, bottomBank
46, VCCIO_2, not used, , , , , , bottomBank
47, PIO, gpio_pin[10], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, bottomBank
48, PIO, gpio_pin[11], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, bottomBank
49, PIO_GBIN, clk_100m, Input, , SB_LVCMOS, Pull Up, Simple Input, bottomBank
52, PIO_GBIN, not used, , , , , , bottomBank
53, AGND_BOT, not used, , , , , , UnknownBank
54, AVDD_BOT, not used, , , , , , UnknownBank
55, PIO, gpio_pin[8], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, bottomBank
56, PIO, gpio_pin[9], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, bottomBank
57, VCCIO_2, not used, , , , , , bottomBank
59, GND, not used, , , , , , UnknownBank
60, PIO, sram_a[16], Output, , SB_LVCMOS, Pull Up, Simple Output, bottomBank
61, PIO, sram_a[17], Output, , SB_LVCMOS, Pull Up, Simple Output, bottomBank
62, PIO, sram_a[15], Output, , SB_LVCMOS, Pull Up, Simple Output, bottomBank
63, PIO, not used, , , , , , bottomBank
64, PIO, not used, , , , , , bottomBank
65, CDONE, not used, , , , , , bottomBank
66, CRESET_B, not used, , , , , , bottomBank
67, SPI_SO, not used, , , , , , bottomBank
68, SPI_SI, not used, , , , , , bottomBank
69, GND, not used, , , , , , UnknownBank
70, SPI_SCK, not used, , , , , , bottomBank
71, SPI_SS_B, not used, , , , , , bottomBank
72, VDDIO_SPI, not used, , , , , , bottomBank
73, PIO, not used, , , , , , rightBank
74, PIO, not used, , , , , , rightBank
75, PIO, sram_ub_l, Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, rightBank
76, PIO, sram_oe_l, Output, , SB_LVCMOS, Pull Up, Simple Output, rightBank
77, TRST_B, not used, , , , , , rightBank
78, PIO, pi_spi_ce[1], Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
79, PIO, pi_spi_sck, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
80, PIO, not used, , , , , , rightBank
81, PIO, sram_lb_l, Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, rightBank
82, PIO, not used, , , , , , rightBank
83, PIO, not used, , , , , , rightBank
84, PIO, not used, , , , , , rightBank
85, PIO, not used, , , , , , rightBank
86, GND, not used, , , , , , UnknownBank
87, PIO, pi_spi_miso, Output, , SB_LVCMOS, Pull Up, Simple Output, rightBank
88, PIO, not used, , , , , , rightBank
89, VCCIO_1, not used, , , , , , rightBank
90, PIO, pi_spi_mosi, Input, , SB_LVCMOS, Pull Up, Simple Input, rightBank
91, PIO, not used, , , , , , rightBank
92, VCC, not used, , , , , , UnknownBank
93, PIO_GBIN, not used, , , , , , rightBank
94, PIO_GBIN, not used, , , , , , rightBank
95, PIO, not used, , , , , , rightBank
96, PIO, not used, , , , , , rightBank
97, PIO, not used, , , , , , rightBank
98, PIO, not used, , , , , , rightBank
99, PIO, not used, , , , , , rightBank
100, VCCIO_1, not used, , , , , , rightBank
101, PIO, not used, , , , , , rightBank
102, PIO, sram_a[14], Output, , SB_LVCMOS, Pull Up, Simple Output, rightBank
103, GND, not used, , , , , , UnknownBank
104, PIO, sram_a[13], Output, , SB_LVCMOS, Pull Up, Simple Output, rightBank
105, PIO, sram_a[12], Output, , SB_LVCMOS, Pull Up, Simple Output, rightBank
106, PIO, sram_a[11], Output, , SB_LVCMOS, Pull Up, Simple Output, rightBank
107, PIO, sram_a[10], Output, , SB_LVCMOS, Pull Up, Simple Output, rightBank
108, VPP_PUMP, not used, , , , , , UnknownBank
109, VPP_DIRECT, not used, , , , , , UnknownBank
110, PIO, ok_led, Output, , SB_LVCMOS, Pull Up, Simple Output, topBank
111, VCC, not used, , , , , , UnknownBank
112, PIO, not used, , , , , , topBank
113, PIO, not used, , , , , , topBank
114, PIO, not used, , , , , , topBank
115, PIO, not used, , , , , , topBank
116, PIO, xtra_a[2], Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, topBank
117, PIO, xtra_a[3], Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, topBank
118, PIO, xtra_a[4], Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, topBank
119, PIO, ftdi_wo, Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, topBank
120, PIO, xtra_a[0], Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, topBank
121, PIO, xtra_a[1], Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, topBank
122, PIO, not used, , , , , , topBank
123, VCCIO_0, not used, , , , , , topBank
124, PIO, ftdi_ro, Output, , SB_LVCMOS, Pull Up, Output Tristatable by Enable, topBank
125, PIO, not used, , , , , , topBank
126, AVDD_TOP, not used, , , , , , UnknownBank
127, AGND_TOP, not used, , , , , , UnknownBank
128, PIO_GBIN, not used, , , , , , topBank
129, PIO_GBIN, not used, , , , , , topBank
130, PIO, gpio_pin[7], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, topBank
131, VCCIO_0, not used, , , , , , topBank
132, GND, not used, , , , , , UnknownBank
134, PIO, gpio_pin[6], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, topBank
135, PIO, gpio_pin[5], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, topBank
136, PIO, gpio_pin[4], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, topBank
137, PIO, gpio_pin[3], InOut, , SB_LVCMOS, Pull Up, Simple Input Output Tristatable by Enable, topBank
138, PIO, gpio_pin[2], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, topBank
139, PIO, gpio_pin[1], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, topBank
140, GND, not used, , , , , , UnknownBank
141, PIO, gpio_pin[0], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, topBank
142, PIO, gpio_pin[23], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, topBank
143, PIO, gpio_pin[22], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, topBank
144, PIO, gpio_pin[21], InOut, , SB_LVCMOS, Pull Up, Input Registered Output Tristatable by Enable, topBank
Total Number of Used Pins, 66
